gauge_id,year,precip_mm,irrigation,other_water_use,outside_irrigation,outside_other_water_use,modflow_irrigation,modflow_other_water_use,combined_water_use
07143665,1980,537.27,204.36,18.02,0,0.22,204.36,17.61,222.39
07143665,1981,883.72,130.88,18.02,0,0.22,130.88,17.61,148.9
07143665,1982,684.75,173.08,18.02,0,0.22,173.08,17.61,191.1
07143665,1983,692.79,171.38,18.02,0,0.22,171.38,17.61,189.4
07143665,1984,734.33,162.56,18.02,0,0.22,162.56,17.61,180.59
07143665,1985,929.53,121.16,18.02,0,0.22,121.16,17.61,139.18
07143665,1986,806.23,147.31,18.02,0,0.22,147.31,17.61,165.33
07143665,1987,883.53,130.92,18.02,0,0.22,130.92,17.61,148.94
07143665,1988,502.19,211.81,18.02,0,0.22,211.8,17.61,229.83
07143665,1989,696.28,170.64,18.02,0,0.22,170.64,17.61,188.66
07143665,1990,695.94,185.06,22.08,0,0.31,185.06,21.78,207.14
07143665,1991,587.38,187.79,21.14,0,0.56,187.79,20.58,208.93
07143665,1992,918.74,69.5,18.37,0,0.3,69.5,18.07,87.87
07143665,1993,1094.12,75.08,20.65,0,0.96,75.08,19.69,95.73
07143665,1994,530.9,163.11,21.71,0,0.32,163.11,21.39,184.82
07143665,1995,923.03,131.6,20.14,0,0.29,131.6,19.86,151.74
07143665,1996,810.01,135.34,23.48,0,0.22,135.34,23.26,158.82
07143665,1997,860.67,109.94,22.54,0,0.28,109.94,22.26,132.48
07143665,1998,913.03,143.97,22.76,0,0.35,143.97,22.41,166.73
07143665,1999,886.42,104.29,22.52,0,0.35,104.29,22.17,126.81
07143665,2000,778.72,143.54,23.6,0,0.43,143.54,23.17,167.14
07143665,2001,729.18,179.65,24.54,0,0.49,179.65,24.05,204.2
07143665,2002,730.03,182.4,24.9,0,0.43,182.4,24.47,207.3
07143665,2003,768.1,202.79,21.33,0,0.4,202.79,20.92,224.12
07143665,2004,826.6,104.13,21.01,0,0.55,104.13,20.46,125.15
07143665,2005,841.92,135.3,22.04,0,0.53,135.3,21.51,157.34
07143665,2006,642.03,188.87,25.24,0,0.51,188.87,24.73,214.12
07143665,2007,1060.82,123.15,23.12,0,0.42,123.15,22.7,146.27
07143665,2008,887.93,104.85,22.01,0,0.41,104.85,21.6,126.87
07143665,2009,824.92,132.3,21.27,0,0.52,132.3,20.75,153.58
07143665,2010,772.83,145.9,22.94,0,0.54,145.9,22.4,168.84
07143665,2011,551.88,227.86,26.62,0,0.58,227.86,26.04,254.48
07143665,2012,528.34,208.74,26.79,0,0.5,208.74,26.29,235.53
07143665,2013,975.2,119.27,23.22,0,0.51,119.27,22.71,142.49
07143665,2014,748.17,152.59,22.41,0,0.43,152.59,21.98,174.99
07143665,2015,843.03,154.27,20.35,0,0.42,154.27,19.93,174.61
07143665,2016,1012.96,98.88,18.02,0,0.41,98.88,17.61,116.9
07143665,2017,708.24,175.75,19.17,0,0.4,175.75,18.77,194.92
07143665,2018,991.85,126.03,19.56,0,0.42,126.03,19.14,145.58
07143665,2019,1010.23,132.93,19.02,0,0.33,132.93,18.68,151.95
07143665,2020,751.46,146.33,19.77,0,0.35,146.33,19.41,166.09
07143665,2021,811.89,152.53,18.89,0,0.33,152.53,18.56,171.42
07143665,2022,632.86,208.29,20.87,0,0.63,208.29,20.23,229.15
07143665,2023,639.13,182.76,18.02,0,0.22,182.76,17.61,200.78
07143672,1980,537.88,225.25,18.14,0,0.22,225.25,17.73,243.39
07143672,1981,883.22,144.94,18.14,0,0.22,144.94,17.73,163.08
07143672,1982,685.23,190.98,18.14,0,0.22,190.98,17.73,209.12
07143672,1983,694.28,188.88,18.14,0,0.22,188.88,17.73,207.02
07143672,1984,734.95,179.42,18.14,0,0.22,179.42,17.73,197.56
07143672,1985,930.86,133.86,18.14,0,0.22,133.86,17.73,152
07143672,1986,807.36,162.58,18.14,0,0.22,162.58,17.73,180.72
07143672,1987,884.41,144.66,18.14,0,0.22,144.66,17.73,162.8
07143672,1988,503.3,233.29,18.14,0,0.22,233.29,17.73,251.43
07143672,1989,698.51,187.9,18.14,0,0.22,187.9,17.73,206.03
07143672,1990,695.55,196.79,22.64,0,0.31,196.79,22.33,219.42
07143672,1991,588.08,200.33,22.16,0,0.56,200.33,21.6,222.48
07143672,1992,918.63,76.25,18.96,0,0.3,76.25,18.66,95.21
